Genome	DE96NGSUKBD140734Dm	DE91NGSUKBD140727Sc	DE90NGSUKBD140745Dm	DE86NGSUKBD140720Sc	DE85NGSUKBD140738Dm	DE80NGSUKBD140731Sc	DE75NGSUKBD140724Sc	DE74NGSUKBD140742Dm	DE69NGSUKBD140735Dm	DE64NGSUKBD140728Sc	DE63NGSUKBD140746Dm	DE59NGSUKBD140721Sc	DE58NGSUKBD140739Dm	DE53NGSUKBD140732Sc	DE48NGSUKBD140725Sc	DE47NGSUKBD140743Dm	DE42NGSUKBD140736Dm	DE37NGSUKBD140729Sc	DE32NGSUKBD140722Sc	DE31NGSUKBD140740Dm	DE26NGSUKBD140733Dm	DE21NGSUKBD140726Sc	DE20NGSUKBD140744Dm	DE16NGSUKBD140719Sc	DE15NGSUKBD140737Dm	DE10NGSUKBD140730Sc	DE05NGSUKBD140723Sc	DE04NGSUKBD140741Dm
3_binette_bin192	0	0	0.016409393	0	0.042477638	0	0	0.028719516	0	0	0.023886438	0	0.03900781	0	0	0.028948803	0	0	0	0.028501594	0	0	0.028342342	0	0.04455671	0	0	0.019130297
3_binette_bin193	0	0	0.022668853	0	0.06006953	0	0	0.04187205	0	0	0.034426644	0	0.052742645	0	0	0.04120145	0	0	0	0.040811047	0	0	0.040773757	0	0.06108581	0	0	0.02517534
3_binette_bin194	0	0	0.025367614	0	0.06499519	0	0	0.047465354	0.059087712	0	0.038539506	0	0.063541055	0	0	0.04461442	0.06822149	0	0	0.044140674	0	0	0.044514157	0	0.06717394	0	0	0.02814992
3_binette_bin195	0	0	0.01942242	0	0.04827964	0	0	0.034945957	0	0	0.03073026	0	0.04252877	0	0	0.035742003	0	0	0	0.034944452	0	0	0.034711868	0	0.048387222	0	0	0.018150095
3_binette_bin196	0	0	0.021371733	0	0.05041639	0	0	0.03797555	0	0	0.031365518	0	0.045791175	0	0	0.03625901	0	0	0	0.038595263	0	0	0.03731649	0	0.051855255	0	0	0.020098148
3_binette_bin197	0	0	0.12483429	0.021668125	0.2979058	0	0	0.2150013	0	0	0.18798985	0	0.2582861	0	0	0.21307334	0	0	0	0.22151227	0	0	0.21672305	0	0.30021438	0	0	0.12970129
3_binette_bin198	0	0	0.01684864	0	0.03751562	0	0	0.03115443	0	0	0.024804935	0	0.0338605	0	0	0.031215083	0	0	0	0.030629821	0	0	0.030018877	0	0.03885722	0	0	0.013281958
3_binette_bin199	0	0	0.018576913	0	0.048878647	0	0	0.033347122	0	0	0.028595565	0	0.042511046	0	0	0.033715967	0	0	0	0.035566248	0	0	0.033249367	0	0.049575623	0	0	0.020085353
3_binette_bin2	0	0	0.015397968	0	0.03451796	0	0	0.03343248	0	0	0.024250098	0	0.030572776	0	0	0.029361358	0	0	0	0.028461073	0	0	0.027645944	0	0.03593848	0	0	0.010846885
3_binette_bin20	0	0	0.021970736	0	0.053783193	0	0	0.04240244	0	0	0.034732286	0	0.048440244	0	0	0.041059464	0	0	0	0.04100562	0	0	0.039868157	0	0.055504914	0	0	0.021094665
3_binette_bin200	0	0	0.04760162	0	0.119678296	0	0	0.094952434	0	0	0.07555708	0	0.105230555	0	0	0.091763966	0	0	0	0.08961888	0	0	0.089032955	0	0.12519406	0	0	0.05393193
3_binette_bin201	0	0	0.037615463	0	0.085176975	0	0	0.06360396	0	0	0.054893434	0	0.07490243	0	0	0.06403586	0	0	0	0.061603665	0	0	0.061512105	0	0.088268556	0	0	0.03585791
3_binette_bin202	0	0	0.021532767	0	0.050555687	0	0	0.03684765	0	0	0.0321931	0	0.044206273	0	0	0.03650916	0	0	0	0.03966769	0	0	0.036590412	0	0.05253169	0	0	0.019765122
3_binette_bin203	0	0	0.016493145	0	0.037544817	0	0	0.029645775	0	0	0.025631178	0	0.03441966	0	0	0.029684046	0	0	0	0.027998174	0	0	0.027902167	0	0.04086824	0	0	0.014608318
3_binette_bin204	0	0	0.056716017	0	0.14198357	0	0	0.10702721	0	0	0.08874452	0	0.12644206	0	0	0.10550807	0	0	0	0.10692888	0	0	0.10477169	0	0.1485822	0	0	0.06587265
3_binette_bin205	0	0	0.017323911	0	0.044211324	0	0	0.029008795	0	0	0.02507449	0	0.043198403	0	0	0.03205547	0	0	0	0.032553643	0	0	0.03189755	0	0.049049947	0	0	0.014975557
3_binette_bin206	0	0	0.019688148	0	0.053600863	0	0	0.03795117	0	0	0.030121868	0	0.04639653	0	0	0.03624753	0	0	0	0.035859276	0	0	0.034957487	0	0.053518355	0	0	0.023689976
3_binette_bin207	0.45226648	0.07010129	0.040082112	0.05947431	0.045559023	0.06897099	0.063295476	0.021921003	0.53398776	0.05893574	0.02572394	0.060053013	0.074239254	0.067208365	0.07596936	0.023727378	0.5151902	0.07827421	0.068998486	0.020329798	0.62886584	0.082425535	0.022707546	0.07341708	0.060258042	0.075312875	0.06490769	0.016368426
3_binette_bin208	0	0	0.03395685	0	0.08525029	0	0	0.06321216	0	0	0.052545846	0	0.07716992	0	0	0.06284716	0	0	0	0.061406493	0	0	0.06236829	0	0.08955812	0	0	0.04191388
3_binette_bin209	0	0	0.0146828275	0	0.040455155	0	0	0.02797059	0	0	0.023937166	0	0.038076025	0	0	0.029163232	0	0	0	0.029164942	0	0	0.027701935	0	0.042738196	0	0	0.018245107
3_binette_bin21	0	0	0.018133936	0	0.045273893	0	0	0.035738707	0	0	0.029552069	0	0.040560428	0	0	0.035032917	0	0	0	0.03444178	0	0	0.03378559	0	0.046300787	0	0	0.016802587
3_binette_bin210	0	0	0.031225538	0	0.07860134	0	0	0.062048733	0	0	0.05019642	0	0.07093448	0	0	0.058814805	0	0	0	0.059038576	0	0	0.056082223	0	0.07865573	0	0	0.032269895
3_binette_bin211	0	0	0.012610062	0	0.04237637	0	0	0.025723958	0	0	0.020628996	0	0.03717898	0	0	0.024454974	0	0	0	0.025890067	0	0	0.024931097	0	0.04315499	0	0	0.021008182
3_binette_bin212	0	0	0.52700615	0	1.4325496	0	0	1.6160318	0	0	1.292572	0	2.5148735	0	0	1.6144584	0.07597108	0	0	1.1307309	0	0	1.6216029	0	1.391426	0	0	3.6595984
3_binette_bin213	0	0	0.042108662	0	0.12173946	0	0	0.07810641	0	0	0.06597635	0	0.11362811	0	0	0.08204976	0	0	0	0.07671608	0	0	0.07858782	0	0.12275769	0	0	0.07352183
3_binette_bin214	0.60457945	0.09993973	0.050342917	0.079346865	0.050121758	0.09476784	0.09153302	0.022779964	0.57718027	0.09201001	0.028735343	0.09020411	0.086850144	0.09180262	0.09418989	0.023877995	0.58782214	0.094431475	0.09036566	0.019746454	0.71220165	0.10190138	0.024496054	0.08432783	0.06252171	0.10017138	0.08020234	0.0126879485
3_binette_bin215	0	0	0.053845163	0	0.14745164	0	0	0.1078367	0	0	0.092293896	0	0.1367687	0	0	0.10985035	0	0	0	0.10820153	0	0	0.11131615	0	0.1461111	0	0	0.07270633
3_binette_bin216	1.2210071	0.20365827	0.09418379	0.16406552	0.092702225	0.20546289	0.19190106	0.046156235	1.041462	0.17649513	0.06460137	0.17446186	0.16204137	0.19100977	0.2483751	0.05388839	1.0375074	0.24713671	0.18743187	0.0419581	1.191769	0.2331845	0.05419177	0.1900624	0.091156155	0.22450802	0.17120317	0.056863103
3_binette_bin217	0	0	0.017784433	0	0.03954795	0	0	0.030445077	0	0	0.02422148	0	0.033180475	0	0	0.027736906	0	0	0	0.03208767	0	0	0.026742676	0	0.03920143	0	0	0.010811952
3_binette_bin218	0	0	0.016359704	0	0.042727176	0	0	0.027126458	0	0	0.023458885	0	0.037132025	0	0	0.026391247	0	0	0	0.028989606	0	0	0.027952401	0	0.04154991	0	0	0.018699346
3_binette_bin22	0	0	0.017778927	0	0.050399255	0	0	0.033197537	0	0	0.027802203	0	0.04451906	0	0	0.03292887	0	0	0	0.033345267	0	0	0.03268811	0	0.05124071	0	0	0.022915658
3_binette_bin220	0	0	0.037119783	0	0.093476266	0	0	0.068097636	0	0	0.056310862	0	0.08536	0	0	0.06786002	0	0	0	0.06927068	0	0	0.06491712	0	0.09605082	0	0	0.043885395
3_binette_bin221	0	0	0.020791745	0	0.054094076	0	0	0.047505796	0	0	0.034162395	0	0.04876419	0	0	0.04095853	0	0	0	0.043070097	0	0	0.03923035	0	0.054556306	0	0	0.022020677
3_binette_bin222	0	0	0.034703992	0	0.08944487	0	0	0.08376295	0	0	0.06387648	0	0.08402479	0	0	0.0829144	0	0	0	0.06837899	0	0	0.077282734	0	0.06993869	0	0	0.029345183
3_binette_bin223	0	0	0.1921012	0.053874042	0.4461762	0	0	0.35317475	0	0	0.3039373	0	0.40731162	0	0	0.35527387	0	0	0	0.35692805	0	0	0.34980714	0	0.44459477	0	0	0.18018444
3_binette_bin224	0	0	0.032040603	0	0.079225406	0	0	0.06569658	0	0	0.054140225	0	0.07200046	0	0	0.06033447	0	0	0	0.05885546	0	0	0.057528075	0	0.08402071	0	0	0.034660645
3_binette_bin225	0	0	0.038306303	0	0.08627837	0	0	0.07183992	0	0	0.062502064	0	0.075379334	0	0	0.07242466	0	0	0	0.077133305	0	0	0.06909295	0	0.096579775	0	0	0.028854815
3_binette_bin226	7.175433	0	0.040798176	0	0.50353795	0	0	0.03519014	3.85144	0	0.036622938	0	0.8097664	0	0	0.030626532	4.036993	0	0	0.032222614	4.0608053	0	0.033393286	0	0.51545054	0	0	0.017561534
3_binette_bin227	0	0	0.02728727	0	0.077868305	0	0	0.04848292	0	0	0.043368723	0	0.07205658	0	0	0.05121706	0	0	0	0.055140648	0	0	0.05052019	0	0.07711566	0	0	0.04251888
3_binette_bin228	0	0	0.020818036	0	0.046475712	0	0	0.036613174	0	0	0.031108623	0	0.040533863	0	0	0.039426785	0	0	0	0.035752654	0	0	0.036542896	0	0.047656532	0	0	0.014279541
3_binette_bin229	0	0	0.06732259	0	0.16784233	0	0	0.12605958	0	0	0.10817825	0	0.15443145	0	0	0.123959	0	0	0	0.1219063	0	0	0.12338843	0	0.17362551	0	0	0.07872238
3_binette_bin23	0.4506037	0.08265787	0.044724457	0.06983246	0.0404833	0.081959344	0.081736796	0.022778697	0.43448186	0.06956641	0.028476274	0.06850071	0.06801079	0.077813216	0.09786375	0.024985168	0.4208827	0.09600903	0.08066836	0.020636953	0.53258836	0.095992155	0.023359032	0.08008118	0.04554394	0.102076896	0.07088592	0.017662104
3_binette_bin230	0.20688894	0.037403584	0.020877726	0.030403359	0.016721983	0.035517983	0.031866573	0.008775692	0.185222	0.029453468	0.010830738	0.030397879	0.025924485	0.03348451	0.040745623	0.009218499	0.16706668	0.044338603	0.035653543	0.008104327	0.23896453	0.041525647	0.008289188	0.036249157	0.020669298	0.057823602	0.02849678	0.0053154156
3_binette_bin231	0	0	0.04085453	0	0.08877448	0	0	0.070888594	0	0	0.06620041	0	0.08057407	0	0	0.071560346	0	0	0	0.07015107	0	0	0.07308376	0	0.0988909	0	0	0.035494752
3_binette_bin232	0	0	0.035101276	0	0.0936538	0	0	0.06158758	0	0	0.053761665	0	0.08563411	0	0	0.06200341	0	0	0	0.06591807	0	0	0.064199835	0	0.10062794	0	0	0.0503722
3_binette_bin233	0.26493716	0	0	0	0.047342952	0	0	0.010352948	0.43032575	0	0.007847784	0	0.04882874	0	0	0.00917076	0.4333699	0	0	0.008752796	0.6146283	0	0.009069142	0	0.058191683	0	0	0.0065700756
3_binette_bin238	0	0	0	0	0	0.021351097	0	0	0.4146502	0	0	0	0.010054825	0	0	0	0.78904796	0	0	0.058361474	0	0	0	0	0	0	0	0
3_binette_bin24	0	0	0.017258804	0	0.045725696	0	0	0.031638384	0	0	0.026735174	0	0.04027703	0	0	0.031422134	0	0	0	0.031755213	0	0	0.03157102	0	0.046676114	0	0	0.018763376
3_binette_bin25	0	0	0.018659135	0	0.04581345	0	0	0.03452083	0	0	0.027936742	0	0.041011564	0	0	0.034040622	0	0	0	0.033776324	0	0	0.03311655	0	0.046575278	0	0	0.017488029
3_binette_bin26	0	0	0.018486466	0	0.044438977	0	0	0.03588873	0	0	0.028603414	0	0.04040033	0	0	0.034717884	0	0	0	0.03456837	0	0	0.03380829	0	0.04588939	0	0	0.01662947
3_binette_bin27	0	0	0.020334352	0	0.0549337	0	0	0.03739946	0	0	0.031355534	0	0.04927174	0	0	0.03731321	0	0	0	0.03743897	0	0	0.036974743	0	0.056172624	0	0	0.024727797
3_binette_bin28	0	0	0.022311259	0	0.05861426	0	0	0.04167678	0	0	0.03483852	0	0.051653575	0	0	0.041049063	0	0	0	0.04147663	0	0	0.04067198	0	0.06005973	0	0	0.025142852
3_binette_bin29	0	0	0	0	0	0.019921992	0	0	0.38986665	0	0	0	0.009314733	0	0	0	0.76923454	0	0	0.05794946	0	0	0	0	0	0	0	0
3_binette_bin3	0	0	0.016742434	0	0.039711416	0	0	0.03954952	0	0	0.02634411	0	0.03590632	0	0	0.0320291	0	0	0	0.031879462	0	0	0.029863838	0	0.04117801	0	0	0.014477491
3_binette_bin30	0	0	0.017096309	0	0.041359276	0	0	0.031896062	0	0	0.025896505	0	0.037325397	0	0	0.031347908	0	0	0	0.031702027	0	0	0.03053323	0	0.042700533	0	0	0.015324231
3_binette_bin31	0	0	0.029820645	0	0.07364374	0	0	0.0568841	0	0	0.04673361	0	0.06587583	0	0	0.056510355	0	0	0	0.055913128	0	0	0.05461989	0	0.07558559	0	0	0.030772144
3_binette_bin32	0.24924938	0.056367207	0.0301499	0.049996298	0.023081267	0.05654259	0.059489347	0.012981177	0.23963967	0.04686927	0.018319802	0.048903048	0.036173604	0.056114525	0.06994375	0.015860878	0.21224347	0.06639324	0.05810193	0.0135927405	0.29189816	0.063784435	0.01539954	0.05606545	0.02758444	0.081931666	0.05039951	0.009486506
3_binette_bin33	0	0	0	0	0	0.01703506	0	0	0.30352843	0	0	0	0.008376459	0	0	0	0.6724188	0	0	0.057549667	0	0	0	0	0	0	0	0
3_binette_bin34	0	0	0.016002046	0	0.04455155	0	0	0.029047627	0	0	0.024315832	0	0.039785113	0	0	0.028398585	0	0	0	0.029278561	0	0	0.028441533	0	0.045130663	0	0	0.019864412
3_binette_bin35	0	0	0.015647218	0	0.03896265	0	0	0.035320923	0	0	0.025799824	0	0.03476978	0	0	0.030131308	0	0	0	0.03031888	0	0	0.028752847	0	0.039209027	0	0	0.014287532
3_binette_bin36	0	0	0.017113503	0	0.040583313	0	0	0.03339694	0	0	0.027048912	0	0.03707657	0	0	0.031847667	0	0	0	0.031443156	0	0	0.03136447	0	0.041712005	0	0	0.014412103
3_binette_bin37	0	0	0.07619395	0	0.18565965	0	0	0.14409007	0	0	0.11970555	0	0.16552892	0	0	0.1437027	0	0	0	0.1415086	0	0	0.13954522	0	0.19022037	0	0	0.08415493
3_binette_bin38	0	0	0	0	0	0.01763324	0	0	0.34091026	0	0	0	0.008303041	0	0	0	0.70087814	0	0	0.05825792	0	0	0	0	0	0	0	0
3_binette_bin39	0	0	0.01813158	0	0.04288673	0	0	0.035955876	0	0	0.028427692	0	0.039009344	0	0	0.0349433	0	0	0	0.034304813	0	0	0.033447184	0	0.044167258	0	0	0.0152280815
3_binette_bin4	0.33193034	0.068128616	0.035220325	0.056760166	0.026455183	0.06757366	0.065640606	0.015856363	0.3698734	0.05616204	0.0215125	0.05402724	0.0505305	0.063938245	0.0798844	0.017806506	0.34684837	0.07946002	0.064321905	0.014790871	0.44085884	0.07884998	0.016657697	0.06518554	0.033969477	0.08462423	0.056463342	0.010377966
3_binette_bin40	0	0	0.019949857	0	0.054213934	0	0	0.036045153	0	0	0.030714406	0	0.047527146	0	0	0.035833612	0	0	0	0.03603375	0	0	0.036939543	0	0.055309247	0	0	0.025216274
3_binette_bin41	0	0	0.018384298	0	0.04148349	0	0	0.038375158	0	0	0.028880205	0	0.03874124	0	0	0.035127725	0	0	0	0.03396492	0	0	0.031556327	0	0.04258417	0	0	0.014468205
3_binette_bin42	0	0	0.018122166	0	0.048528034	0	0	0.032370444	0	0	0.027324367	0	0.04294533	0	0	0.032101467	0	0	0	0.031849023	0	0	0.03239354	0	0.049047362	0	0	0.02220401
3_binette_bin43	0	0	0	0	0	0.01902157	0	0	0.3385457	0	0	0	0.0077456483	0	0	0	0.6842906	0	0	0.05616805	0	0	0	0	0	0	0	0
