Genome	SRR24759596	SRR24759597	SRR24759598	SRR24759599	SRR24759600	SRR24759601	SRR24759602	SRR24759603	SRR24759604	SRR24759605	SRR24759606	SRR24759607	SRR24759608	SRR24759609	SRR24759610	SRR24759611	SRR24759612	SRR24759613	SRR24759614	SRR24759615	SRR24759616
SRR24759597_binette_bin52	0.014264812	0.05331191	0.06664277	0.04751198	0.043293353	0.030533463	0.03510753	0.036368895	0.020622259	0.030614022	0.020912124	0.041110717	0.04876891	0.015153839	0.03485934	0.046072636	0.018791594	0.020305086	0.027182834	0.03477715	0.020753248
SRR24759597_binette_bin53	0.6341097	0.9031287	0.53654855	0.6579536	0.4400345	0.58844155	0.58690816	0.52668315	0.59127146	0.62346375	0.6379845	0.5466341	0.5474479	0.7516167	0.69527847	0.52478987	0.6558298	0.775367	0.5880704	0.7576603	0.59136105
SRR24759597_binette_bin54	0.009116603	0.044160604	0.015751397	0.0121291485	0.028663816	0.011317715	0.017665481	0.01338012	0.009220243	0.01136256	0.01552773	0.013802448	0.018545102	0.013586873	0.016679661	0.020127265	0.016277691	0.014581515	0.01827944	0.007496167	0.011651095
SRR24759597_binette_bin55	0.3236388	0.4601072	0.23365709	0.2961592	0.2665205	0.2646945	0.288822	0.27735716	0.31950632	0.3018325	0.30587438	0.3289934	0.27779868	0.3176334	0.30478707	0.30185768	0.30783692	0.34988785	0.31917453	0.31963193	0.31123543
SRR24759597_binette_bin57	0.018521292	0.102279946	0.022869682	0.030289803	0.044610646	0.027302667	0.028636107	0.030913996	0.010904371	0.031892233	0.026450891	0.03818192	0.02731473	0.02004423	0.02515379	0.040199153	0.022458622	0.028814724	0.03502655	0.011298471	0.017415313
SRR24759597_binette_bin60	0.41717777	0.47452003	0.25597283	0.31602773	0.3122733	0.3220234	0.2993708	0.37340242	0.3843198	0.35570666	0.38407096	0.37706947	0.3242946	0.42656305	0.3678995	0.35637248	0.38503814	0.3993028	0.34030917	0.36063087	0.395696
SRR24759597_binette_bin61	0.086902186	0.35379934	0.077250324	0.1768599	0.08902901	0.055551037	0.09696012	0.07506976	0.10865393	0.05793168	0.061281726	0.059749763	0.056162484	0.059957832	0.04353195	0.101854615	0.06387683	0.06741362	0.104954585	0.08250841	0.09468537
SRR24759597_binette_bin62	0.1036239	0.21043918	0.082645155	0.100299396	0.115406334	0.113410965	0.102856874	0.10852213	0.14005524	0.119668975	0.119232476	0.12318416	0.123872556	0.09990144	0.10031339	0.11996508	0.10661702	0.10125006	0.13273396	0.111489385	0.119082436
SRR24759597_binette_bin64	0	0.05457213	0.009135488	0.006996016	0.011669966	0.011038683	0	0.013751573	0.008283547	0.008408094	0	0.005689636	0.0052456753	0	0.0021847715	0.008063732	0	0	0.010476906	0.0059982412	0.009034171
SRR24759597_binette_bin7	0	0.088728696	0.012571496	0.009742594	0.02225521	0.0068795574	0.0072054686	0.009470973	0.0196181	0.018266113	0.0025702568	0.027871167	0.0012040542	0	0.006285279	0.0017103109	0	0.011543127	0.006030699	0.004892712	0.014423891
SRR24759597_binette_bin74	0.012616876	0.044375457	0.045982875	0.041432805	0.028040132	0.028854413	0.025435127	0.03591399	0.015501923	0.023508616	0.01474523	0.026275935	0.035502918	0.008713497	0.022538403	0.0319057	0.011513384	0.013766301	0.020452788	0.02683748	0.013143154
SRR24759597_binette_bin75	0	0.80944777	0.18307786	0.16784914	0.30862528	0.077993564	0.21183062	0.2215586	0.14645337	0.03499014	0	0.09782932	0.089859635	0.003142246	0.009104813	0.009889967	0.010036489	0.0051352736	0.0060679154	0.10313019	0.31680074
SRR24759597_binette_bin76	0.0035934572	0.047931444	0.011492679	0.01016679	0.02176131	0.010572651	0.009195349	0.01797665	0.010491548	0.00686284	0.0037900982	0.009116772	0.010056719	0.002757231	0.008941908	0.0066100503	0.0056697493	0.0058905142	0.0049166074	0.00865237	0.008423796
SRR24759597_binette_bin77	0.010170372	0.051522132	0.056273345	0.027459327	0.028537089	0.015909776	0.02263397	0.027547773	0.013250407	0.021978784	0.012769159	0.033208057	0.038766682	0.008042784	0.029767357	0.03459109	0.013127111	0.020456376	0.019999515	0.02747622	0.012758919
SRR24759597_binette_bin78	0.53913164	0.5483641	0.3403924	0.43430775	0.36082095	0.4505984	0.37525403	0.4393972	0.48655212	0.46247634	0.47275957	0.45117313	0.41731104	0.5753416	0.50193286	0.43439627	0.5010502	0.51344645	0.43097714	0.49525544	0.4944914
SRR24759598_binette_bin100	0	0.044348713	0.01648272	0.006945843	0.0139688505	0.005153329	0.005949539	0.006367938	0.012455093	0.030599453	0.0029542705	0.017035862	0.0019438945	0	0.0040712003	0.0015012401	0	0.008245422	0.005738898	0.0039387974	0.013387583
SRR24759598_binette_bin101	0.0031080176	0.036355894	0.014982278	0.009780179	0.022134082	0.013451592	0.00730001	0.0076382784	0.021365775	0.016375499	0.005629953	0	0.0020041997	0.0028858562	0.013902867	0.011353589	0.0030583495	0.016551754	0.008917176	0.0075451736	0.013695946
SRR24759598_binette_bin103	0.0062734946	0.009146974	0.030405851	0.015241824	0.014722873	0.009078653	0.010325057	0.0060687847	0.008664932	0.039402585	0.005502959	0.01725436	0.018157057	0.006245379	0.009653566	0.013075513	0.0076718996	0.008695396	0.011808514	0.016927334	0.0057785176
SRR24759598_binette_bin104	0.40279105	0.2954129	0.6017198	0.37881485	0.3057525	0.4229822	0.3885227	0.37138706	0.41574857	0.4204271	0.4720125	0.36027345	0.37921003	0.42622498	0.47165558	0.3973108	0.41742817	0.45102963	0.432507	0.4144922	0.39285824
SRR24759598_binette_bin105	0.016689232	0.013951407	0.047727335	0.008820673	0.018012097	0.008226005	0.018220078	0.006386434	0.0062027993	0.009063324	0.008376348	0.00996423	0.013854192	0.012188399	0.006681925	0.032793246	0.023681965	0.0069592264	0.01601589	0.008697463	0.009161141
SRR24759598_binette_bin106	0.38010526	0.26298568	0.49162883	0.30502528	0.31646457	0.31644988	0.39960098	0.3540253	0.38716963	0.39151073	0.44899115	0.34123006	0.3435941	0.38856766	0.3625741	0.37723958	0.3995516	0.42928192	0.3709093	0.3658009	0.3728367
SRR24759598_binette_bin107	0.41328412	0.31340957	0.4793211	0.31747618	0.3437185	0.3909325	0.32946023	0.41946203	0.42857662	0.5140018	0.40499482	0.43633544	0.44043007	0.4314033	0.44087088	0.44516113	0.39296636	0.43086633	0.45466992	0.38049024	0.3897813
SRR24759598_binette_bin108	0.31475797	0.24496517	0.34007877	0.22572365	0.2750959	0.2642525	0.28973344	0.3404072	0.31779185	0.33875102	0.3340186	0.33168432	0.34891865	0.2995555	0.29945204	0.39546102	0.30628452	0.32790828	0.35717142	0.30742404	0.30478016
SRR24759598_binette_bin109	0	0.024331134	0.13444519	0.024693325	0.0043877163	0	0.016205054	0	0.0022623811	0	0	0	0	0	0.025061717	0.0035629252	0.0030561339	0.0016741509	0.0014658193	0.008233584	0.022074232
SRR24759598_binette_bin110	0.3768308	0.2385511	0.4414014	0.2682914	0.30299252	0.3114391	0.34074858	0.34102553	0.36569896	0.38544068	0.40227997	0.33093044	0.3317071	0.37907144	0.3467054	0.37536174	0.4082012	0.3867632	0.3566034	0.34824497	0.38123217
SRR24759598_binette_bin111	0.3189608	0.2151459	0.4227991	0.23602399	0.2527999	0.26012984	0.31590763	0.28115785	0.3175929	0.32175103	0.37858817	0.28676134	0.26097578	0.31770483	0.29091382	0.32426205	0.37276763	0.3495407	0.3101063	0.31052643	0.32309496
SRR24759598_binette_bin113	0.4650215	0.3443693	0.65124893	0.40938607	0.3674933	0.41953546	0.47664952	0.43979743	0.4624358	0.46624002	0.54906166	0.41858953	0.4124479	0.49013108	0.4934578	0.4359076	0.47474304	0.5322415	0.4589662	0.4496442	0.45397756
SRR24759598_binette_bin114	0.5629279	0.43421152	0.6126854	0.44779018	0.4584068	0.47888193	0.541313	0.5272094	0.5523071	0.5647676	0.6251067	0.5292395	0.5068872	0.56247425	0.5368902	0.5538187	0.5799752	0.61975616	0.55688316	0.54791665	0.5640133
SRR24759598_binette_bin27	0.02642895	0.08710879	0.105764724	0.08756886	0.0846274	0.04170563	0.06692737	0.056698848	0.04910391	0.036389973	0.0478627	0.03807233	0.04953475	0.023733359	0.034286812	0.054932445	0.03107579	0.042611457	0.048836805	0.055745583	0.06090721
SRR24759598_binette_bin3	0	0	0.07008994	0	0	0	0.005267337	0	0	0	0	0	0	0	0	0	0.0018147097	0	0	0	0.011837051
SRR24759598_binette_bin36	0.036475975	0.023364667	0.034108132	0.017217463	0.035355423	0.051950462	0.029151628	0.009392202	0.01108305	0.048610184	0.016327746	0.0153064085	0.024685333	0.015814045	0.019226654	0.024705352	0.020737886	0.01365584	0.013747197	0.01214944	0.015200255
SRR24759598_binette_bin38	0.36787656	0.28272706	0.5469435	0.30251488	0.2991103	0.31509915	0.3764806	0.35320747	0.35886484	0.37178645	0.4369228	0.34446758	0.33728266	0.3766517	0.3696497	0.3711459	0.3848458	0.43031156	0.37588605	0.35946652	0.3585545
SRR24759598_binette_bin39	0.028586974	0.057800986	0.038422503	0.033719067	0.03540682	0.027399354	0.03896723	0.02902494	0.008718022	0.030299619	0.034912415	0.026115747	0.03185062	0.03427305	0.040033847	0.040061	0.03794171	0.04211436	0.044832822	0.013661288	0.019365322
SRR24759598_binette_bin41	0.039701805	0.055834167	0.15044525	0.046600867	0.062306788	0.023576187	0.050900307	0.039192013	0.043931976	0.032905754	0.03641846	0.03168897	0.056557458	0.03278673	0.024152901	0.03544053	0.03236808	0.022136528	0.027467433	0.03876984	0.07618503
SRR24759598_binette_bin42	0.019169131	0.06615416	0.05831023	0.035947844	0.041724667	0.022393014	0.035313252	0.03790198	0.031261396	0.0247193	0.017328154	0.042706702	0.03702935	0.014005412	0.028913626	0.039805032	0.020383295	0.022418533	0.025967417	0.03689485	0.033976622
SRR24759598_binette_bin43	0.4835405	0.37493843	0.74802995	0.43776047	0.38002154	0.454902	0.5086425	0.4619158	0.49041963	0.5037899	0.5933021	0.4443255	0.45497277	0.5069073	0.532514	0.48088545	0.49491873	0.5767412	0.51179194	0.49565724	0.48303032
SRR24759598_binette_bin44	0	0.0081403935	0.016658815	0	0.013114893	0	0	0.0643673	0	0.025246326	0	0.016469572	0.035144098	0	0.002083242	0.0030457468	0	0	0.0058721653	0.0051454036	0
SRR24759598_binette_bin45	0.030550411	0.03425746	0.30321467	0.088222384	0.05122057	0.03219068	0.037390355	0.10884631	0.02078428	0.027164826	0.031661183	0.032511838	0.11214678	0.014839016	0.05479319	0.14204288	0.02621479	0.009554925	0.03917448	0.03532813	0.025784936
SRR24759598_binette_bin46	0.035929497	0.10374387	0.07668202	0.041087203	0.0379421	0.030892119	0.051085003	0.06699947	0.04111884	0.052996777	0.0623464	0.06356232	0.0601025	0.042294744	0.04475031	0.047909986	0.03727984	0.075776614	0.048025526	0.048737198	0.049477164
SRR24759598_binette_bin47	0.01703295	0.017859837	0.034445457	0.02214557	0.019721441	0.015566952	0.021553962	0.013331756	0.011687738	0.018252732	0.009564057	0.016343275	0.019120382	0.010898741	0.012334313	0.018842073	0.010182009	0.009413383	0.013571443	0.016799198	0.0115083065
SRR24759598_binette_bin48	0.6899477	0.5624159	0.7988958	0.7159841	0.48771927	0.76785403	0.6312048	0.6325151	0.6773245	0.70612603	0.7319631	0.5879443	0.642972	0.7852829	0.8832312	0.60713756	0.6841997	0.75671065	0.69207466	0.77935714	0.6713849
SRR24759598_binette_bin49	0	0	0.046483725	0.0021887503	0.003504922	0	0	0.0018932874	0	0.0031212557	0.0019742849	0	0.0025047474	0.0014388269	0	0.0071668564	0.00246882	0.0074796686	0	0	0
SRR24759598_binette_bin50	0.0558718	0.07497061	0.08681766	0.05248752	0.06262312	0.040028986	0.054696843	0.0568223	0.08962692	0.06345875	0.06322406	0.05442051	0.11091384	0.05756341	0.13415357	0.074021265	0.06160101	0.06855122	0.07557766	0.072813675	0.044874128
SRR24759598_binette_bin52	0	0.022151748	0.062133957	0.0039133397	0.0038956106	0	0.015862906	0	0.0018476087	0	0	0	0	0	0.0023953042	0	0.0017860966	0	0	0.0012588938	0.011223185
SRR24759598_binette_bin53	0.008760305	0.013702412	0.016516848	0.010125637	0.013054025	0.01172332	0.023289545	0.018008295	0.004472927	0.036256507	0.016818	0.037413627	0.020905342	0.017989103	0.008362431	0.011556115	0.020988092	0.013721618	0.025641382	0.022993676	0.0074385977
SRR24759598_binette_bin54	0	0	0.026534604	0	0	0.0055365413	0	0	0	0	0	0	0	0	0	0.0020471893	0	0	0	0.0031940346	0
SRR24759598_binette_bin55	0.10046188	0.10617643	0.15110357	0.08225202	0.11490054	0.09141475	0.12489098	0.14352392	0.1161733	0.123698264	0.11969714	0.12869713	0.16000211	0.10590876	0.10376736	0.15997528	0.10050244	0.14205483	0.15171237	0.10698192	0.11753747
SRR24759598_binette_bin56	0.016397687	0.012435092	0.018691739	0.012429961	0.010543692	0.017261542	0.053512685	0.010368143	0.00612541	0.033336073	0.02631157	0.013415062	0.038621917	0.039765842	0.012998094	0.017433152	0.048265934	0.017478267	0.05537922	0.0078263655	0.013193509
SRR24759598_binette_bin60	0.038445175	0.03380688	0.0441137	0.047257245	0.031671613	0.0319682	0.04261306	0.058872357	0.043669783	0.043543205	0.0420908	0.03447934	0.039225608	0.054746855	0.028516455	0.0409226	0.039700355	0.05092417	0.060285054	0.031524073	0.05584194
SRR24759598_binette_bin61	0.14780496	0.21702714	0.23132646	0.17488526	0.21853374	0.1558012	0.1911845	0.17210045	0.13716541	0.18064164	0.16982797	0.17396756	0.18457058	0.14889538	0.15549064	0.16921365	0.15462278	0.13764521	0.18139166	0.15470316	0.1824313
SRR24759598_binette_bin62	0.152449	0.13703233	0.14499982	0.14658871	0.13680845	0.14229724	0.13981149	0.19592538	0.1452788	0.13507776	0.15482539	0.13301547	0.1940942	0.17880364	0.15157726	0.14169408	0.14797124	0.17809728	0.14761393	0.15303543	0.15662898
SRR24759598_binette_bin65	0.16670167	0.18105546	0.3246986	0.084569365	0.23500954	0.13024	0.14258645	0.2661405	0.1680402	0.2812733	0.18230702	0.30155903	0.36063707	0.1240228	0.20795225	0.41049394	0.15860671	0.17266	0.3410284	0.18505289	0.13699947
SRR24759598_binette_bin67	0.39975926	0.27408174	0.56719345	0.3199813	0.3261585	0.32508448	0.43088183	0.36897773	0.39448765	0.40129438	0.51156956	0.35697746	0.33573335	0.40424278	0.38281807	0.3842646	0.4205586	0.47199345	0.3813611	0.3673834	0.39426103
SRR24759598_binette_bin69	0.2736486	0.1686775	0.394775	0.20355873	0.20221339	0.25539538	0.21030477	0.2352245	0.24527635	0.27199048	0.27407995	0.21769914	0.21960746	0.27724776	0.29173014	0.2567574	0.2813369	0.2855438	0.25864524	0.25310212	0.2619516
SRR24759598_binette_bin7	0.023049388	0.010440131	0.07208293	0.0034659088	0.035582922	0.06138605	0.013609084	0.0041918806	0.0019778812	0.040986147	0.015401934	0	0.030373655	0.0055133426	0.003362231	0.11488911	0.008452405	0.0016889408	0.020149877	0.07454405	0.006252277
SRR24759598_binette_bin70	0.026075143	0.03594956	0.36629552	0.07609882	0.03793151	0.026071012	0.043495838	0.06972093	0.017525116	0.025638366	0.034423895	0.034382947	0.09982398	0.025912106	0.05205933	0.10333056	0.043058235	0.014475296	0.051592004	0.028209021	0.024638625
SRR24759598_binette_bin71	0.33214647	0.29356095	0.602963	0.33124283	0.27757418	0.30938607	0.38220513	0.32653093	0.338445	0.3496106	0.44989532	0.30165234	0.30432767	0.37034732	0.375372	0.31754458	0.3560986	0.4480388	0.35952455	0.3585077	0.3279263
SRR24759598_binette_bin98	0.035513565	0.08177787	0.0987058	0.07911685	0.05312081	0.047454037	0.046550356	0.063597254	0.046717696	0.037963737	0.030226756	0.040217802	0.04181623	0.020821044	0.03263472	0.062497873	0.03137441	0.02388432	0.048584063	0.05672461	0.04207198
SRR24759599_binette_bin27	0.0092292605	0.036162134	0.2107597	0.085377805	0.02866651	0.01344795	0.030698692	0.025238482	0.022925327	0.014636521	0.017214166	0.03021158	0.05022629	0.012773395	0.029796932	0.028610881	0.017096745	0.016018294	0.02950897	0.02488075	0.017955013
SRR24759599_binette_bin29	0.048393615	0.1142712	0.048589673	0.11147718	0.0680085	0.05495701	0.07241139	0.051507443	0.015757503	0.051591605	0.053179923	0.055127468	0.046765115	0.061570145	0.063133806	0.08109459	0.08964885	0.08076813	0.07779563	0.021569058	0.035466757
SRR24759599_binette_bin3	0.018711979	0.02414018	0.011398736	0.047685113	0.036151595	0.015904007	0.043933023	0.012939626	0.0030958347	0.014393821	0.039385576	0.019133704	0.03454352	0.04571983	0.018492004	0.029971333	0.04303889	0.054454416	0.04163252	0.0037609546	0.0060588103
SRR24759599_binette_bin31	0.01671029	0.01767723	0.012531026	0.022037745	0.01735989	0.024146568	0.057354894	0.008735769	0.006057033	0.012515555	0.031336606	0.017941596	0.041126527	0.033650305	0.01546465	0.023353092	0.033384647	0.016283149	0.068909034	0.008379233	0.016074067
SRR24759599_binette_bin36	0.06093638	0.12088305	0.065987684	0.25780752	0.104091264	0.13295706	0.11157594	0.03916929	0.05171895	0.06760456	0.080563396	0.08594968	0.0583244	0.052519508	0.08142475	0.06729509	0.073339365	0.06194641	0.10989649	0.087276526	0.15522744
SRR24759599_binette_bin37	0	0.017662458	0.017105523	0.019984586	0.009984765	0	0.007356315	0.004001471	0.009478465	0.0067391554	0.0039173337	0.019871842	0	0	0.0054897615	0.0025320349	0	0.003516829	0.0061714584	0.0025658498	0.012497677
SRR24759599_binette_bin38	0.019663613	0.025402693	0.031748526	0.04728219	0.058617685	0.023790404	0.041913874	0.017048728	0.014512104	0.017944315	0.034768503	0.01994676	0.03794788	0.027644482	0.021433633	0.03296802	0.03650324	0.01503785	0.033802576	0.010437745	0.024232278
