contig	module_accession	completeness	pathway_name	pathway_class	matching_ko	missing_ko
ERR9966616_bin_168.fasta	M00841	20.0	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K13998	K01495,K11754,K13941,K22101
ERR9966616_bin_168.fasta	M00938	20.0	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K13998	K00525,K00526,K00940,K00943,K01520
ERR9966616_bin_168.fasta	M00977	20.0	C19-Steroid hormone biosynthesis (androgen backdoor pathway), pregnenolone => androsterone => dihydrotestosterone	Pathway modules; Lipid metabolism; Sterol biosynthesis	K00512	K00070,K04119,K12343,K13369
ERR9966616_bin_168.fasta	M00004	16.67	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01807	K00033,K00615,K00616,K01783,K01810,K13937
ERR9966616_bin_168.fasta	M00163	16.67	Photosystem I	Pathway modules; Energy metabolism; Photosynthesis	K02689	K02690,K02691,K02692,K02693,K02694
ERR9966616_bin_168.fasta	M00874	16.67	Fatty acid biosynthesis in mitochondria, fungi	Pathway modules; Lipid metabolism; Fatty acid metabolism	K11262	K00059,K00645,K03955,K07512,K09458,K22541
ERR9966616_bin_168.fasta	M00958	16.67	Adenine ribonucleotide degradation, AMP => Urate	Pathway modules; Nucleotide metabolism; Purine metabolism	K03787	K00106,K01490,K03783
ERR9966616_bin_168.fasta	M00932	14.29	Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K14760	K01661,K02549,K02551,K02552,K08680,K17872,K19222,K23094,K23095
ERR9966616_bin_168.fasta	M00158	13.33	F-type ATPase, eukaryotes	Pathway modules; Energy metabolism; ATP synthesis	K02126,K02128	K02125,K02127,K02129,K02130,K02132,K02133,K02134,K02135,K02136,K02137,K02138,K02140,K02141
ERR9966616_bin_168.fasta	M00143	10.0	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	Pathway modules; Energy metabolism; ATP synthesis	K03935	K03934,K03936,K03937,K03938,K03939,K03940,K03941,K03942,K03943
ERR9966616_bin_168.fasta	M00152	10.0	Cytochrome bc1 complex	Pathway modules; Energy metabolism; ATP synthesis	K00412	K00411,K00413,K00414,K00415,K00416,K00417,K00418,K00419,K00420
ERR9966616_bin_168.fasta	M00165	9.09	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules; Energy metabolism; Carbon fixation	K01807	K00615,K00855,K00927,K01100,K01601,K01623,K01783,K01803,K03841,K05298
ERR9966616_bin_168.fasta	M00014	7.14	Glucuronate pathway (uronate pathway)	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K12447	K00002,K00012,K00854,K03331,K05351,K13247,K16190
ERR9966616_bin_168.fasta	M00532	5.56	Photorespiration	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K11517	K00281,K00382,K00600,K00605,K00830,K01601,K02437,K03781,K14272,K15893,K15918,K19269
ERR9966616_bin_17.fasta	M00132	33.33	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00913	K00915,K10572
ERR9966616_bin_17.fasta	M00002	20.0	Glycolysis, core module involving three-carbon compounds	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00873	K00134,K00927,K01689,K01803,K01834
ERR9966616_bin_17.fasta	M00371	16.67	Castasterone biosynthesis, campesterol => castasterone	Pathway modules; Biosynthesis of terpenoids and polyketides; Plant terpenoid biosynthesis	K20623	K09587,K09588,K09590,K09591,K12637
ERR9966616_bin_17.fasta	M00001	11.11	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00873	K00134,K00844,K00850,K00927,K01623,K01689,K01803,K01810,K01834
ERR9966616_bin_302.fasta	M00100	50.0	Sphingosine degradation	Pathway modules; Lipid metabolism; Lipid metabolism	K04718	K01634
ERR9966616_bin_302.fasta	M00415	25.0	Fatty acid elongation in endoplasmic reticulum	Pathway modules; Lipid metabolism; Fatty acid metabolism	K15397	K10251,K10258,K10703
ERR9966616_bin_302.fasta	M00936	25.0	Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	K13066	K01593,K22450,K24541
ERR9966616_bin_302.fasta	M00048	12.5	De novo purine biosynthesis, PRPP + glutamine => IMP	Pathway modules; Nucleotide metabolism; Purine metabolism	K00602	K00601,K00764,K01756,K01923,K01933,K01945,K01952
ERR9966616_bin_302.fasta	M00078	12.5	Heparan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	K07964	K01136,K01137,K01195,K01205,K01217,K01565,K10532
ERR9966616_bin_302.fasta	M00039	10.0	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds	K13066	K00083,K00487,K00588,K01904,K09753,K09754,K09755,K10775,K13065
ERR9966616_bin_47.fasta	M00086	100.0	beta-Oxidation, acyl-CoA synthesis	Pathway modules; Lipid metabolism; Fatty acid metabolism	K01897	
ERR9966616_bin_47.fasta	M00142	100.0	NADH	Pathway modules; Energy metabolism; ATP synthesis	K03878,K03879,K03880,K03881,K03882,K03883,K03884	
ERR9966616_bin_47.fasta	M00081	66.67	Pectin degradation	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01184,K01213	K01051
ERR9966616_bin_47.fasta	M00021	50.0	Cysteine biosynthesis, serine => cysteine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00640	K01738
ERR9966616_bin_47.fasta	M00141	50.0	C1-unit interconversion, eukaryotes	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00600	K00288
ERR9966616_bin_47.fasta	M00145	36.36	NAD(P)H	Pathway modules; Energy metabolism; ATP synthesis	K05572,K05575,K05576,K05579	K05573,K05574,K05577,K05578,K05580,K05581,K05582
ERR9966616_bin_47.fasta	M00092	33.33	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE	Pathway modules; Lipid metabolism; Lipid metabolism	K00993	K00894,K00967
ERR9966616_bin_47.fasta	M00135	33.33	GABA biosynthesis, eukaryotes, putrescine => GABA	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	K00128	K00274,K00657
ERR9966616_bin_47.fasta	M00140	33.33	C1-unit interconversion, prokaryotes	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00600	K01491,K01938
ERR9966616_bin_47.fasta	M00151	25.0	Cytochrome bc1 complex respiratory unit	Pathway modules; Energy metabolism; ATP synthesis	K00412	K00411,K00413
ERR9966616_bin_47.fasta	M00157	25.0	F-type ATPase, prokaryotes and chloroplasts	Pathway modules; Energy metabolism; ATP synthesis	K02109,K02111	K02108,K02110,K02112,K02113,K02114,K02115
ERR9966616_bin_47.fasta	M00936	25.0	Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	K13066	K01593,K22450,K24541
ERR9966616_bin_47.fasta	M00975	25.0	Betaine degradation, bacteria, betaine => pyruvate	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00600	K00301,K00309,K00479,K01752,K21832
ERR9966616_bin_47.fasta	M00154	20.0	Cytochrome c oxidase	Pathway modules; Energy metabolism; ATP synthesis	K02256,K02261,K02262	K02257,K02258,K02259,K02260,K02263,K02264,K02265,K02266,K02267,K02268,K02270,K02272
ERR9966616_bin_47.fasta	M00158	20.0	F-type ATPase, eukaryotes	Pathway modules; Energy metabolism; ATP synthesis	K02126,K02128,K02132	K02125,K02127,K02129,K02130,K02133,K02134,K02135,K02136,K02137,K02138,K02140,K02141
ERR9966616_bin_47.fasta	M00163	16.67	Photosystem I	Pathway modules; Energy metabolism; Photosynthesis	K02689	K02690,K02691,K02692,K02693,K02694
ERR9966616_bin_47.fasta	M00913	16.67	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00128	K00077,K00606,K01918,K13367
ERR9966616_bin_47.fasta	M00129	14.29	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00699	K00002,K00012,K00103,K00963,K01053,K01195
ERR9966616_bin_47.fasta	M00113	12.5	Jasmonic acid biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	K05894	K00232,K00454,K01723,K07513,K10525,K10526,K10527
ERR9966616_bin_47.fasta	M00162	12.5	Cytochrome b6f complex	Pathway modules; Energy metabolism; ATP synthesis	K02637	K02634,K02635,K02636,K02640,K02642,K02643,K03689
ERR9966616_bin_47.fasta	M00346	11.11	Formaldehyde assimilation, serine pathway	Pathway modules; Energy metabolism; Methane metabolism	K00600	K00018,K00024,K00830,K01595,K01689,K08691,K08692,K11529,K14067
ERR9966616_bin_47.fasta	M00039	10.0	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds	K13066	K00083,K00487,K00588,K01904,K09753,K09754,K09755,K10775,K13065
ERR9966616_bin_47.fasta	M00152	10.0	Cytochrome bc1 complex	Pathway modules; Energy metabolism; ATP synthesis	K00412	K00411,K00413,K00414,K00415,K00416,K00417,K00418,K00419,K00420
ERR9966616_bin_47.fasta	M00144	9.09	NADH	Pathway modules; Energy metabolism; ATP synthesis	K00330	K00331,K00332,K00333,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341,K00342,K00343
ERR9966616_bin_47.fasta	M00014	7.14	Glucuronate pathway (uronate pathway)	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00699	K00002,K00012,K00854,K01195,K03331,K05351,K13247
ERR9966616_bin_47.fasta	M00532	5.56	Photorespiration	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00600	K00281,K00382,K00605,K00830,K01601,K02437,K03781,K11517,K14272,K15893,K15918,K19269
ERR9966616_bin_47.fasta	M00917	5.26	Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol	Pathway modules; Lipid metabolism; Sterol biosynthesis	K14423	K00213,K00222,K00227,K00559,K01824,K01853,K05917,K08242,K08246,K09828,K14424,K23558
ERR9966616_bin_55.fasta	M00142	100.0	NADH	Pathway modules; Energy metabolism; ATP synthesis	K03878,K03879,K03880,K03881,K03882,K03883,K03884	
ERR9966616_bin_55.fasta	M00145	81.82	NAD(P)H	Pathway modules; Energy metabolism; ATP synthesis	K05573,K05574,K05575,K05576,K05577,K05578,K05580,K05581,K05582	K05572,K05579
ERR9966616_bin_55.fasta	M00157	50.0	F-type ATPase, prokaryotes and chloroplasts	Pathway modules; Energy metabolism; ATP synthesis	K02110,K02111,K02112,K02114	K02108,K02109,K02113,K02115
ERR9966616_bin_55.fasta	M00163	50.0	Photosystem I	Pathway modules; Energy metabolism; Photosynthesis	K02689,K02690,K02691	K02692,K02693,K02694
ERR9966616_bin_55.fasta	M00793	33.33	dTDP-L-rhamnose biosynthesis	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	K00973	K01710,K23987
ERR9966616_bin_55.fasta	M00151	25.0	Cytochrome bc1 complex respiratory unit	Pathway modules; Energy metabolism; ATP synthesis	K00412	K00411,K00413
ERR9966616_bin_55.fasta	M00143	20.0	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	Pathway modules; Energy metabolism; ATP synthesis	K03935,K03936	K03934,K03937,K03938,K03939,K03940,K03941,K03942,K03943
ERR9966616_bin_55.fasta	M00154	20.0	Cytochrome c oxidase	Pathway modules; Energy metabolism; ATP synthesis	K02256,K02261,K02262	K02257,K02258,K02259,K02260,K02263,K02264,K02265,K02266,K02267,K02268,K02270,K02272
ERR9966616_bin_55.fasta	M00158	20.0	F-type ATPase, eukaryotes	Pathway modules; Energy metabolism; ATP synthesis	K02126,K02128,K02132	K02125,K02127,K02129,K02130,K02133,K02134,K02135,K02136,K02137,K02138,K02140,K02141
ERR9966616_bin_55.fasta	M00161	16.67	Photosystem II	Pathway modules; Energy metabolism; Photosynthesis	K02703	K02704,K02705,K02706,K02707,K02708
ERR9966616_bin_55.fasta	M00152	10.0	Cytochrome bc1 complex	Pathway modules; Energy metabolism; ATP synthesis	K00412	K00411,K00413,K00414,K00415,K00416,K00417,K00418,K00419,K00420
ERR9966616_bin_55.fasta	M00160	7.69	V-type ATPase, eukaryotes	Pathway modules; Energy metabolism; ATP synthesis	K02155	K02144,K02145,K02146,K02147,K02148,K02149,K02150,K02151,K02152,K02153,K02154,K03662
ERR9966616_bin_77.fasta	M00023	8.33	Tryptophan biosynthesis, chorismate => tryptophan	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	K01657	K00766,K01656,K01658,K01694,K01817
ERR9966616_bin_92.fasta	M00132	33.33	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00913	K00915,K10572
ERR9966616_bin_92.fasta	M00549	33.33	Nucleotide sugar biosynthesis, glucose => UDP-glucose	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K12447	K00844,K01835
ERR9966616_bin_92.fasta	M00987	33.33	Assimilatory sulfate reduction, plants, sulfate => H2S	Pathway modules; Energy metabolism; Sulfur metabolism	K13811	K00392,K05907
ERR9966616_bin_92.fasta	M00157	12.5	F-type ATPase, prokaryotes and chloroplasts	Pathway modules; Energy metabolism; ATP synthesis	K02108	K02109,K02110,K02111,K02112,K02113,K02114,K02115
ERR9966616_bin_92.fasta	M00014	7.14	Glucuronate pathway (uronate pathway)	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K12447	K00002,K00012,K00854,K03331,K05351,K13247,K16190
ERR9966617_bin_59.fasta	M00086	100.0	beta-Oxidation, acyl-CoA synthesis	Pathway modules; Lipid metabolism; Fatty acid metabolism	K01897	
ERR9966617_bin_59.fasta	M00142	100.0	NADH	Pathway modules; Energy metabolism; ATP synthesis	K03878,K03879,K03880,K03881,K03882,K03883,K03884	
ERR9966617_bin_59.fasta	M00368	66.67	Ethylene biosynthesis, methionine => ethylene	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K01762,K05933	K00789
ERR9966617_bin_59.fasta	M00549	66.67	Nucleotide sugar biosynthesis, glucose => UDP-glucose	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00844,K00963	K01835
ERR9966617_bin_59.fasta	M00089	50.0	Triacylglycerol biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	K13506,K13513	K01080,K11155
ERR9966617_bin_59.fasta	M00157	50.0	F-type ATPase, prokaryotes and chloroplasts	Pathway modules; Energy metabolism; ATP synthesis	K02108,K02109,K02112,K02114	K02110,K02111,K02113,K02115
ERR9966617_bin_59.fasta	M00854	50.0	Glycogen biosynthesis, glucose-1P => glycogen/starch	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00963	K00693,K00750
ERR9966617_bin_59.fasta	M00046	33.33	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K01431	K00207,K01464
ERR9966617_bin_59.fasta	M00081	33.33	Pectin degradation	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01051	K01184,K01213
ERR9966617_bin_59.fasta	M00110	33.33	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	Pathway modules; Lipid metabolism; Sterol biosynthesis	K00512	K00070,K07434
ERR9966617_bin_59.fasta	M00132	33.33	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00913	K00915,K10572
