Sample	Tool	accuracy_bp	accuracy_seq	adjusted_rand_index_bp	adjusted_rand_index_seq	binning type	f1_score_bp	f1_score_bp_cami1	f1_score_per_bp	f1_score_per_seq	f1_score_seq	f1_score_seq_cami1	misclassification_bp	misclassification_seq	percentage_of_assigned_bps	percentage_of_assigned_seqs	precision_avg_bp	precision_avg_bp_sem	precision_avg_bp_var	precision_avg_seq	precision_avg_seq_sem	precision_weighted_bp	precision_weighted_seq	rand_index_bp	rand_index_seq	rank	recall_avg_bp	recall_avg_bp_cami1	recall_avg_bp_sem	recall_avg_bp_sem_cami1	recall_avg_bp_var	recall_avg_bp_var_cami1	recall_avg_seq	recall_avg_seq_cami1	recall_avg_seq_sem	recall_avg_seq_sem_cami1	recall_weighted_bp	recall_weighted_seq
sample_0	Gold standard	1.0	1.0	1.0	1.0	genome	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
sample_0	MetaBat2	0.15138053071366075	0.004791429278163231	0.8732891109416252	0.9578127337752065	genome	0.10163129353507803	0.0956080528524329	0.2713381965107463	0.0097958076500682	0.07262409690763866	0.07297647795484698	0.08124033042521783	0.06237105221393424	0.1647661904703787	0.005110155023985531	0.9592630225279947	0.02419240858006739	0.011120180025193447	0.76695246733479	0.06553512515190872	0.9187596695747822	0.9376289477860658	0.9830507870727493	0.9870410592422971	NA	0.05365811186271498	0.05031124282578251	0.013293979214891035	0.012665172832218916	0.04506612025831848	0.04138490354045384	0.03811671847868874	0.03831090397864818	0.009962473574609805	0.009724177804149041	0.15917353681656557	0.004923623417015737
sample_0	CONCOCT	0.27620510348706473	0.019645022241866615	0.6544339555530007	0.4409368197787306	genome	0.3923685258367874	0.23574831910566962	0.45521066041422414	0.04447454002578471	0.3253941357106023	0.19637628362577866	0.3265357359911867	0.4724611799551365	0.4101258496522841	0.037239007814052316	0.7064509595279762	0.034223852540766514	0.09018795037037405	0.6375426692089426	0.04046047411066676	0.6734642640088133	0.5275388200448635	0.9798170717778018	0.9610472953217953	NA	0.27161200545492403	0.1414807942194985	0.025153707820348988	0.019394110231218183	0.16134079936342888	0.1041884287299978	0.2184422107254331	0.11606304728408909	0.022522139611643288	0.016684086516843603	0.3437949642175158	0.02321588600485793
sample_0	SemiBin2	0.310043362131354	0.010577153122174148	0.9134987649258095	0.7349226767319514	genome	0.20115261754909697	0.19058784213052873	0.44777933871496567	0.01867492830809373	0.1457717332731756	0.1385342596874021	0.03920001117896921	0.11363327443251325	0.3226929285373942	0.011933156804145868	0.8997799507354846	0.026945465521383133	0.04065925428118665	0.8863495006979372	0.02769164086581051	0.9607999888210308	0.8863667255674867	0.9949267388104541	0.9781764345643497	NA	0.11323340060397706	0.10658178817181355	0.017969345241102216	0.01654154573115623	0.08233882894045033	0.07469900670302967	0.07941639772971572	0.07513916361646258	0.013679850143792707	0.012555599991677357	0.2919123075551591	0.009436877298697929
sample_0	DAS Tool	0.3040481778898663	0.014512159022249976	0.988099620933147	0.9442656466262411	genome	0.1981570704193803	0.19502009243644708	0.46728343639243636	0.029829239315182225	0.14789401626402898	0.14662889219622874	0.010802529355204649	0.05452816231639013	0.30736853551766213	0.015349118232653574	0.9861293003527719	0.006595191202051038	0.0013483929567399534	0.9057997292107199	0.0335556905667236	0.9891974706447954	0.9454718376836099	0.9992109551326759	0.9920478604635645	NA	0.110145045183011	0.10821002719347306	0.018398228887837657	0.018419858465830063	0.08631618068336233	0.08651925240480891	0.08052047946067153	0.07977102631125223	0.014000626105738302	0.01401265493142022	0.30589112177070327	0.015153665548828703
sample_0	MaxBin2	0.11956577033991568	0.008575587878689575	0.4080279957399017	0.3463477104840028	genome	0.2614848981977496	0.07038454879846254	0.2182177284156799	0.02832305436371942	0.21846372753424512	0.055103526847353194	0.5050425413687094	0.6639974578964093	0.24156777164355048	0.025522389875388775	0.47767939651826874	0.03932964864713774	0.06651331429641404	0.3579699518760852	0.04094066343168454	0.4949574586312906	0.3360025421035907	0.9562519513719031	0.9426113813461042	NA	0.18001246234917392	0.03799121727345488	0.020785101474165176	0.008570424614970255	0.11016521303929254	0.020125896794163323	0.1572003922411874	0.02984915410700933	0.019775357274200378	0.0071682251628331275	0.13996227256744115	0.014784657369823241
sample_0	Binette	0.31898289159294085	0.017953261667349264	0.9720935096758128	0.8816806058603995	genome	0.2398923530572546	0.20872154768496617	0.48202892673494147	0.03618882768781024	0.18648200517133975	0.15943052386703518	0.02456970095951072	0.09843610002443592	0.327017616642335	0.019913465554505752	0.9596977054037327	0.015859226684397234	0.009054542556975504	0.8822834769208634	0.0382830609179902	0.9754302990404893	0.9015638999755641	0.9983502919023876	0.9879428941448335	NA	0.13707872677609031	0.11709396787997448	0.019847193774370858	0.018651603184160242	0.10044733068294344	0.08905786914288037	0.10425927453675325	0.08763299760565546	0.016099820011218152	0.014464053171101771	0.3201085797124405	0.01846500707603596
sample_0	COMEBin	0.36255464521408903	0.02553861001512528	0.8671065753190673	0.6067630547131617	genome	0.3524639856626919	0.2185213475035587	0.4979630250075815	0.049325803346607404	0.29816584809400515	0.17553432074481876	0.0953543611943175	0.2749084712979806	0.40076979279172276	0.03522122243083124	0.7635827588808972	0.03163274423215668	0.07504728807427816	0.6879203194774565	0.03193897436493395	0.9046456388056825	0.7250915287020194	0.9937691638914948	0.9761006878064653	NA	0.22910962080516797	0.1275053503415005	0.024130300820117707	0.017917774466585264	0.14847921150569018	0.09053515299758697	0.19033046631278977	0.10060234139740493	0.021798206008563126	0.01497473384674826	0.3435296066908624	0.025531310952243855
sample_1	Gold standard	1.0	1.0	1.0	1.0	genome	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
sample_1	MetaBat2	0.15596519513410434	0.00447076891442084	0.8291178708571595	0.934022921689293	genome	0.12077216565938305	0.10609239031233776	0.2987486429084316	0.009909243425768204	0.09339283463510373	0.07993912959226984	0.14754460171181838	0.13692045278337728	0.18295994775480165	0.005180019534513115	0.9381348815583911	0.03616151640219457	0.024845450101617546	0.8615006649000164	0.06585161218860297	0.8524553982881816	0.8630795472166227	0.9779118187179108	0.9880433306258265	NA	0.06454043656369356	0.05622542325362035	0.01491442150656903	0.013893414200174266	0.05516511228115099	0.04806371257626338	0.04937258818529671	0.041914185163873185	0.011859192674125019	0.010826727357564481	0.18110990451155443	0.004983228592358407
sample_1	CONCOCT	0.2471845080656843	0.01557218773695236	0.5839398341558227	0.3692323190397191	genome	0.37976261539135603	0.22082572638311515	0.43635469463225807	0.040072390826348156	0.3176687906065168	0.18356465281519552	0.3294827698622531	0.5027954452195322	0.3686475111383853	0.031319479251005644	0.7535121018674336	0.032424732489692513	0.08095497233116532	0.6865987479181825	0.03718416972916649	0.6705172301377469	0.49720455478046777	0.9657668096806384	0.9416153551506636	NA	0.253850330298857	0.1293695025793736	0.025183327924054914	0.018980101394200116	0.15728160132196004	0.09762619146114578	0.20663672413875536	0.10594467152140177	0.022644518112736645	0.0163846603363799	0.3234109486182601	0.020877510891776228
