Sample	Tool	accuracy_bp	accuracy_seq	adjusted_rand_index_bp	adjusted_rand_index_seq	binning type	f1_score_bp	f1_score_bp_cami1	f1_score_per_bp	f1_score_per_seq	f1_score_seq	f1_score_seq_cami1	misclassification_bp	misclassification_seq	percentage_of_assigned_bps	percentage_of_assigned_seqs	precision_avg_bp	precision_avg_bp_sem	precision_avg_bp_var	precision_avg_seq	precision_avg_seq_sem	precision_weighted_bp	precision_weighted_seq	rand_index_bp	rand_index_seq	rank	recall_avg_bp	recall_avg_bp_cami1	recall_avg_bp_sem	recall_avg_bp_sem_cami1	recall_avg_bp_var	recall_avg_bp_var_cami1	recall_avg_seq	recall_avg_seq_cami1	recall_avg_seq_sem	recall_avg_seq_sem_cami1	recall_weighted_bp	recall_weighted_seq
sample_0	Gold standard	1.0	1.0	1.0	1.0	genome	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
sample_0	MetaBat2	0.001981465654451184	4.6635853392002074e-05	0.018640464539141702	-1.3985519212196824e-05	genome	0.021563568473851224	0.0008405185793113882	0.020681567398974678	0.003432542864915684	0.018336435589053027	0.00022528524279197962	0.9111590052669825	0.9979690416072017	0.022303505947967244	0.02296248586744578	0.15047087239227802	0.03088477757309442	0.019077389714790324	0.04571303704966122	0.015057012722532858	0.08884099473301757	0.0020309583927983314	0.6891030467738833	0.7083097872320321	NA	0.011613967143025879	0.0004214363449631664	0.0003507297020681053	0.0002446676357591988	5.006560883250224e-05	2.4543523315078353e-05	0.011468303531468894	0.00011292087250135953	0.00028145647872290834	4.424739081810468e-05	0.01170296866831384	0.01107664539483552
sample_0	CONCOCT	0.01119582388626775	0.0005911409524553777	0.03164040456142795	4.862456510753361e-05	genome	0.030290037701503906	0.0036808387980479694	0.02749101868666013	0.0077668667391674745	0.026213740131445146	0.002254890995113342	0.8846616417293025	0.9939810834049871	0.0970693883121807	0.09821384681508633	0.2109168929777604	0.015034028171212403	0.061251962827311025	0.10275015595250807	0.013889779834468534	0.11533835827069747	0.0060189165950128975	0.9605908327528533	0.9631034513790583	NA	0.016316645760962895	0.0018566198997609948	0.0024665725689818484	0.000286507795417788	0.0024761799568878626	4.793864263173406e-05	0.015023243848993924	0.0011399538566062388	0.002447813505919411	0.0001272259642795531	0.015605276335814485	0.010945560833949894
sample_0	SemiBin2	0.003962828894491741	0.00042728525134834336	0.16247292144181438	-0.00013067458017677772	genome	0.008089514586988462	0.001499861436481568	0.006656775290617071	0.0027699652391144952	0.006344643678536156	0.0012004807158660681	0.8320666879167331	0.9826260762607626	0.02359763435456356	0.024593480307695797	0.15836221510100087	0.007709573859075967	0.014146131923074307	0.02982790686386929	0.0014041560144532612	0.16793331208326684	0.017373923739237393	0.9812469805141671	0.9835472222027842	NA	0.0041507729173628025	0.0007534989431692126	0.00035765690645528527	0.00012079772620173647	5.206281433321204e-05	8.405044217573583e-06	0.0035498647010214096	0.0006125673251652078	0.00030758245098721365	8.696535556710617e-05	0.0033956891817313903	0.0015049515932446076
sample_0	DAS Tool	0.0002759527845897901	4.159413951178564e-05	0.026948325793397	9.276946064256416e-05	genome	0.0030039032321739234	0.00014110966123762525	0.00212309943758156	0.0018693482291949877	0.0029795304794970057	0.0001675426155953359	0.8991219540604035	0.986335403726708	0.0027355088217611233	0.003043934755180676	0.2347867300650083	0.05439055914246754	0.062124991400435446	0.11377732997493932	0.05083304899058648	0.10087804593959651	0.013664596273291925	0.8746528979988694	0.8704589000327626	NA	0.0015116215940086464	7.057603914489175e-05	9.269246949666325e-05	2.1613483777628327e-05	3.4969008178656688e-06	1.9106135653137337e-07	0.0015095305670560898	8.383303189261582e-05	0.00010226786111284938	3.525372630700439e-05	0.0010728393136787031	0.0010033010621630716
sample_0	MaxBin2	0.004585138681287924	0.0002609086933012008	0.03884831850592618	-2.3430350247147363e-05	genome	0.01532607653051157	0.0018605046458619143	0.015433508760253277	0.00636101086792943	0.012947643135122219	0.001418670096647197	0.8752703370125324	0.9930808570378046	0.036760611481397365	0.037708238538608815	0.1868092125320953	0.015177637970940943	0.027873644019610743	0.05257503209355908	0.007038758720157196	0.12472966298746757	0.006919142962195407	0.947631851594941	0.9503016218025819	NA	0.007990827321846562	0.0009349078761110732	0.00039163477338587766	0.00018586362986269724	6.242476286007816e-05	1.6167195207885256e-05	0.007382916257493053	0.000719036184902201	0.0003345874391698566	0.00012326354070900104	0.008225658046157446	0.005886200955152694
sample_0	Binette	0.0006847854221234108	2.3948140931028093e-05	0.06645349684874137	-2.4169167410696537e-05	genome	0.004897966640555136	0.0003449283852103926	0.004354072661847039	0.0024041399130371307	0.004212100213832484	0.00036848080132621694	0.8546886573591972	0.9948214772417553	0.0047125393632632085	0.00462451205662853	0.1720166655399496	0.035416970226997566	0.017561064920840443	0.01766716884921999	0.0074029385113823665	0.14531134264080278	0.005178522758244753	0.8330158196449041	0.8339552732329848	NA	0.002484352791774077	0.0001726372790259062	0.00019376186173444251	6.818718460100254e-05	1.528026923855847e-05	1.8969927946749679e-06	0.002391084051216398	0.00018618198186538725	0.0001926960181077952	7.819917230622913e-05	0.002210148498847121	0.001565452159807205
sample_0	COMEBin	0.013794623694065488	0.0005445050990633756	0.08917815039805158	-2.5953535517913963e-05	genome	0.019200491975987662	0.00486213010431926	0.017519717395939886	0.004393030842991603	0.016018763800668637	0.002958145291959318	0.8574644415082863	0.9944378637276613	0.09678022691346476	0.09789495841216263	0.22522546901037843	0.020633107649970294	0.0911051780971862	0.12024985689109598	0.019687305996229306	0.14253555849171376	0.005562136272338672	0.9859676589429919	0.9865704012882208	NA	0.010027676145459331	0.002457592097645657	0.0024885016710489653	0.00032609599447281604	0.002520404710693092	5.869890588139062e-05	0.008580924371360774	0.001497491787572346	0.0024654912906179297	0.0001543855985445143	0.009333469036220541	0.0036300339937558376
sample_1	Gold standard	1.0	1.0	1.0	1.0	genome	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
sample_1	MetaBat2	0.0020920028867430084	3.1564213583060686e-05	0.003387274896258463	1.4954498014683008e-05	genome	0.033010752570709255	0.001101864992854838	0.02766087074683006	0.0016402697829803292	0.020332537794384303	0.0003811541907665855	0.9450113071701933	0.9991362363733841	0.03804423744383016	0.03654265195991998	0.21221400960355385	0.04464593296097334	0.039865186599114526	0.02497003135958447	0.005648771076792021	0.05498869282980673	0.0008637636266158337	0.6730799051204548	0.6675602383123399	NA	0.017897381541853517	0.0005523665047569216	0.00046126075315495036	0.00024628517843560576	8.680668481963741e-05	2.499043231622796e-05	0.01714780643216517	0.00019204281084649418	0.0003181167218035322	6.645472704040918e-05	0.018477885349179362	0.01623706683558963
