Genome	SRR22878281	SRR22878282	SRR22878283
SRR22878281_binette_bin201	0.07719711	0.007401466	0.004689293
SRR22878281_binette_bin202	0.047808778	0.0061007086	0
SRR22878281_binette_bin203	3.4861333	0.080679774	0.0028157337
SRR22878281_binette_bin204	0.43121418	0.01780361	0.015183724
SRR22878281_binette_bin205	0.045693126	0.015692145	0.092818804
SRR22878281_binette_bin206	0.057308387	0.0018809692	0
SRR22878281_binette_bin207	0.040307567	0	0
SRR22878281_binette_bin208	0.049782895	0.005284755	0.0060109207
SRR22878281_binette_bin209	0.38272828	0.027096555	0.022339735
SRR22878281_binette_bin21	0.40591013	0.0015329525	0
SRR22878281_binette_bin210	0.075747706	0.0063721207	0.0022848537
SRR22878281_binette_bin211	0.04224114	0	0
SRR22878281_binette_bin212	0.14094037	0.0107622435	0.009341229
SRR22878281_binette_bin213	0.030252378	0	0
SRR22878281_binette_bin214	0.06646211	0.0032310253	0.0088388575
SRR22878281_binette_bin215	0.06414983	0.011184344	0.025098382
SRR22878281_binette_bin216	0.06467631	0.04539381	0.015021623
SRR22878281_binette_bin217	0.05730176	0	0
SRR22878281_binette_bin218	0.060033184	0.0013710737	0
SRR22878281_binette_bin219	0.41870996	0	0
SRR22878281_binette_bin22	0.07019284	0	0.0029477216
SRR22878281_binette_bin220	0.058043998	0	0
SRR22878281_binette_bin221	0.06816793	0.010874555	0.05788895
SRR22878281_binette_bin222	0.046563152	0.0015151341	0
SRR22878281_binette_bin223	0.046378966	0	0
SRR22878281_binette_bin224	0.040956873	0	0
SRR22878281_binette_bin225	0.05970024	0	0
SRR22878281_binette_bin226	0.07166326	0.0037630096	0
SRR22878281_binette_bin227	0.043959957	0	0
SRR22878281_binette_bin228	0.61866003	0.1662427	0.08477101
SRR22878281_binette_bin229	0.08425679	0.014764132	0.014803899
SRR22878281_binette_bin23	0.26997814	0	0
SRR22878281_binette_bin230	0.070763074	0	0
SRR22878281_binette_bin231	0.08911919	0.0028622092	0
SRR22878281_binette_bin232	0.039632484	0	0
SRR22878281_binette_bin233	0.040870987	0.003001857	0.001588921
SRR22878281_binette_bin234	0.061099105	0.0019919265	0.008413321
SRR22878281_binette_bin235	0.1499225	0.006003941	0.0021237554
SRR22878281_binette_bin24	0.11131746	0.0064869802	0.009440902
SRR22878281_binette_bin243	0.10887174	0	0
SRR22878281_binette_bin244	0.037520375	0	0
SRR22878281_binette_bin245	0.04540996	0.004855746	0.0026832118
SRR22878281_binette_bin246	0.062940925	0.2570757	0.0035442556
SRR22878281_binette_bin247	0.03261036	0	0
SRR22878281_binette_bin248	0.07048275	0.0030702022	0.0014181354
SRR22878281_binette_bin249	0.08393319	0.006552025	0.009247445
SRR22878281_binette_bin25	0.10223566	0.030694557	0.08586116
SRR22878281_binette_bin250	0.036519457	0	0
SRR22878281_binette_bin251	0.074531496	0.0039174864	0.0017108697
SRR22878281_binette_bin252	0.038581718	0.0016187566	0
SRR22878281_binette_bin253	0.045007925	0.019205833	0.09549685
SRR22878281_binette_bin254	0.029828431	0.0068317857	0.0034006862
SRR22878281_binette_bin255	0.055459175	0.0036633788	0
SRR22878281_binette_bin256	0.057739705	0	0
SRR22878281_binette_bin257	0.062479988	0.002683685	0
SRR22878281_binette_bin258	1.3840878	0.010920977	0
SRR22878281_binette_bin26	0.075466424	0.009708443	0.0060589476
SRR22878281_binette_bin260	0.057435796	0.002768075	0
SRR22878281_binette_bin261	0.16445304	0.0059289997	0.0022245303
SRR22878281_binette_bin262	0.34498423	0	0
SRR22878281_binette_bin263	0.049541917	0.0030677351	0.003696162
SRR22878281_binette_bin264	0.027720882	0	0
SRR22878281_binette_bin265	0.07483409	0	0
SRR22878281_binette_bin266	0.082357414	0.009474439	0.010525546
SRR22878281_binette_bin267	0.048869528	0	0
SRR22878281_binette_bin268	0.091788754	0.020678066	0.19102308
SRR22878281_binette_bin269	0.032168638	0.0025857238	0
SRR22878281_binette_bin27	0.19166104	0	0
SRR22878281_binette_bin270	0.23831962	0.008068123	0.008419835
SRR22878281_binette_bin271	0.18832353	0.045064054	0.055503223
SRR22878281_binette_bin273	0.18568018	0.0041858577	0
SRR22878281_binette_bin274	0.042222433	0.0023687114	0
SRR22878281_binette_bin275	0.041782968	0	0
SRR22878281_binette_bin276	0.12680206	0.002697175	0.0033526903
SRR22878281_binette_bin278	0.102423556	0.001984662	0.0022094464
SRR22878281_binette_bin279	0.03090973	0	0
SRR22878281_binette_bin28	0.06774763	0	0
SRR22878281_binette_bin280	0.115695044	0.004225102	0.002270065
SRR22878281_binette_bin281	0.054623567	0	0
SRR22878281_binette_bin282	0.030343274	0.005535486	0.0067875236
SRR22878281_binette_bin283	0.039684445	0.004099345	0
SRR22878281_binette_bin284	0.053946316	0.009277347	0.032071717
SRR22878281_binette_bin29	0.12900804	0	0
SRR22878281_binette_bin3	0.08352431	0	0
SRR22878281_binette_bin30	0.12787035	0.0013991444	0
SRR22878281_binette_bin31	0.15035596	0.0028993415	0.002318977
SRR22878281_binette_bin32	0.34348106	0.25113773	0.032177385
SRR22878281_binette_bin33	0.14506991	0.04256822	0.05014382
SRR22878281_binette_bin34	0.08050183	0.0028292106	0.0030393742
SRR22878281_binette_bin35	0.098423295	0.00443438	0.0018218817
SRR22878281_binette_bin36	0.11997269	0	0
SRR22878281_binette_bin37	0.10380129	0.007381815	0
SRR22878281_binette_bin38	0.056658577	0.0026288724	0.0015310725
SRR22878281_binette_bin39	0.12481511	0.0022617448	0.010730288
SRR22878281_binette_bin4	0.06678771	0.0021725616	0.23792875
SRR22878281_binette_bin40	0.09747456	0.021959126	0.013210792
SRR22878281_binette_bin41	0.058136523	0	0
SRR22878281_binette_bin43	0.32191804	0.2737549	0.039270464
SRR22878281_binette_bin44	0.35831395	0	0
SRR22878281_binette_bin45	0.17396666	0.005036667	0.003147327
SRR22878281_binette_bin46	0.093762375	0.20204155	0.08320578
SRR22878281_binette_bin47	0.18091168	0	0
SRR22878281_binette_bin48	0.09905496	0	0
SRR22878281_binette_bin49	0.0890752	0.010715494	0.015402507
SRR22878281_binette_bin5	0.07986906	0.08240715	0.0054755122
SRR22878281_binette_bin50	0.058883745	0.001327693	0
SRR22878281_binette_bin51	0.20420979	0.0025448008	0
SRR22878281_binette_bin52	0.057381067	0.0013712838	0
SRR22878281_binette_bin53	0.060730655	0.0037642985	0.0021986188
SRR22878281_binette_bin54	0.062074803	0.0023161657	0
SRR22878281_binette_bin55	0.0554972	0	0
SRR22878281_binette_bin56	0.11955377	0	0
SRR22878281_binette_bin58	0.09165474	0	0
SRR22878281_binette_bin59	0.07028854	0.007326955	0.0033816984
SRR22878281_binette_bin6	0.33342975	0	0
SRR22878281_binette_bin60	0.08809201	0.001966777	0.0027555546
SRR22878281_binette_bin61	0.06331552	0.024558943	0.007365511
SRR22878281_binette_bin62	0.31054896	0.017219905	0.006173622
SRR22878281_binette_bin63	0.06675752	0.115452334	0.014268113
SRR22878281_binette_bin64	0.107817926	0.008780276	0.0053907447
SRR22878281_binette_bin65	0.18409447	0.016879486	0.0037390324
SRR22878281_binette_bin66	0.047948312	0.0016320109	0
SRR22878281_binette_bin67	0.066947825	0	0
SRR22878281_binette_bin68	0.057702437	0	0
SRR22878281_binette_bin69	0.22817694	0.002051589	0
SRR22878281_binette_bin7	0.08545176	0	0
SRR22878281_binette_bin71	0.22403963	0.040579315	0.5819905
SRR22878281_binette_bin72	0.046065424	0	0
SRR22878281_binette_bin73	0.06389205	0.0153650325	0.009759582
SRR22878281_binette_bin74	0.059980664	0	0
SRR22878281_binette_bin75	0.20992476	0.059820432	0.01807648
SRR22878281_binette_bin76	0.044718873	0	0
SRR22878281_binette_bin77	0.26437008	0.0046970835	0.0030223394
SRR22878281_binette_bin78	0.110125385	0	0
SRR22878281_binette_bin8	0.19867587	0.004069622	0.0025433437
SRR22878281_binette_bin80	0.050429314	0.008230215	0.005490982
SRR22878281_binette_bin81	0.05028142	0.0032951005	0.010420708
SRR22878281_binette_bin82	0.42515823	0	0
SRR22878281_binette_bin83	0.17816398	0.006163133	0.012870937
SRR22878281_binette_bin84	0.039725825	0	0
SRR22878281_binette_bin85	0.042761877	0	0
SRR22878281_binette_bin86	0.053907897	0.010144711	0.0610269
SRR22878281_binette_bin87	0.042288203	0.0087900255	0
SRR22878281_binette_bin89	0.048601717	0	0
SRR22878281_binette_bin9	0.14811417	0.0072473446	0.0030980934
SRR22878281_binette_bin90	0.25293553	0.03344863	0.012476864
SRR22878281_binette_bin91	0.0569453	0.008176703	0.0019389085
SRR22878281_binette_bin92	0.044736415	0	0
SRR22878281_binette_bin93	0.039570156	0.0017799526	0.006597493
SRR22878281_binette_bin94	0.04731579	0	0
SRR22878281_binette_bin95	0.06313229	0.003729628	0.019296406
SRR22878281_binette_bin96	0.11987282	0.39994577	0.005399842
SRR22878281_binette_bin97	0.040892214	0	0
SRR22878281_binette_bin98	0.048401058	0	0
SRR22878282_binette_bin1	0	0.25319117	0
SRR22878282_binette_bin10	0.020699754	0.096401714	4.7067094
SRR22878282_binette_bin100	0.09519084	0.070500776	0.05304521
SRR22878282_binette_bin101	0.030861601	0.09416491	0.00745809
SRR22878282_binette_bin102	1.0828784	0.16331768	0.22064672
SRR22878282_binette_bin103	0.5082591	0.16394518	0.12768592
SRR22878282_binette_bin104	0.085246295	0.504232	0.08121819
SRR22878282_binette_bin105	0	0.12133552	0
SRR22878282_binette_bin106	0.0066055283	0.0752794	0.0109801
SRR22878282_binette_bin107	0.5454171	0.07624215	0.10610973
SRR22878282_binette_bin108	0.003379176	0.049468696	0.0074122804
SRR22878282_binette_bin109	0.008078658	0.061942138	0.019354427
SRR22878282_binette_bin110	0.03554345	0.048720997	0.055074025
SRR22878282_binette_bin111	0.0076182587	0.03805996	0.005202241
SRR22878282_binette_bin112	0	0.07852309	0
SRR22878282_binette_bin113	0.011407	0.10583955	0.018813629
SRR22878282_binette_bin114	0.03360171	0.0912367	0.009909429
SRR22878282_binette_bin115	0.025733618	0.043715905	0.005933175
SRR22878282_binette_bin116	0	0.044829957	0.0071157166
SRR22878282_binette_bin117	0.0072855623	0.0544927	0.0147993555
SRR22878282_binette_bin118	0.029268572	0.048097797	0.036524244
SRR22878282_binette_bin120	0.04937683	0.10943252	0.014832214
SRR22878282_binette_bin121	0.03208613	0.047020927	0.031941697
SRR22878282_binette_bin122	0.00795971	0.05271651	0.017388012
SRR22878282_binette_bin123	0.003463451	0.037411403	0.042837992
SRR22878282_binette_bin124	0.019355448	0.05257909	0.017321391
SRR22878282_binette_bin125	0.02386193	0.046622038	0.054697383
SRR22878282_binette_bin127	0	0.046013724	0
SRR22878282_binette_bin128	0.046390004	0.13487631	0.054592624
SRR22878282_binette_bin129	0.031397104	0.07040218	0.2603619
SRR22878282_binette_bin13	0	0.072146125	0
SRR22878282_binette_bin130	0	0.09729179	0
SRR22878282_binette_bin131	0.13079831	0.06565797	0.020225894
SRR22878282_binette_bin132	0.035164807	0.16394456	0.0045004776
SRR22878282_binette_bin133	0	0.13735294	0.0049097254
SRR22878282_binette_bin134	0	0.04280613	0.032834042
SRR22878282_binette_bin14	0.009881819	0.14080307	0.13989438
SRR22878282_binette_bin15	0	0.123224504	0
SRR22878282_binette_bin16	0	0.08566542	0
SRR22878282_binette_bin162	1.3321258	0.08832232	0.048837297
SRR22878282_binette_bin164	0	0.080567256	0.3976827
SRR22878282_binette_bin165	0.025165757	0.061271757	0
SRR22878282_binette_bin166	0	0.09083379	0
SRR22878282_binette_bin167	0	0.04635974	0
SRR22878282_binette_bin168	0.16896679	0.08845148	0.020043679
SRR22878282_binette_bin169	0.008481637	0.065134674	0.011726848
SRR22878282_binette_bin170	0.005170924	0.054185487	0.045895323
SRR22878282_binette_bin171	0.0014952443	0.06873376	0.026042433
SRR22878282_binette_bin172	0	0.06639087	0
SRR22878282_binette_bin173	0.042809293	0.18410017	0.009274936
SRR22878282_binette_bin174	0.0033862898	0.038963743	0.017471487
SRR22878282_binette_bin175	0	0.041553322	0.048508532
SRR22878282_binette_bin176	3.6984904	0.16616979	0.0366303
SRR22878282_binette_bin177	0.056882996	0.09723051	0
SRR22878282_binette_bin178	0.0022720697	0.05563644	0.04095069
SRR22878282_binette_bin179	0.0068442007	0.0448387	0.019239852
SRR22878282_binette_bin18	2.2256513	0.19468385	0.25029325
SRR22878282_binette_bin180	0.13042293	0.14156385	0.03056248
SRR22878282_binette_bin182	0.018759048	2.261985	0.0035159101
SRR22878282_binette_bin183	0.17001668	0.21880597	0.016739972
SRR22878282_binette_bin185	0	0.24999565	0.02373733
